1000 522
914575 425 544
648772 80 166
190629 496 553
407775 324 817
804784 416 595
631932 901 949
78537 856 954
286918 210 618
238506 339 422
361868 15 344
296263 592 744
836991 309 799
177068 430 939
291757 217 271
594328 675 904
996221 79 319
531545 510 736
575467 673 933
206504 834 873
344965 979 990
45895 500 651
708325 730 941
248153 895 976
797489 398 602
766466 431 679
53968 332 350
233792 83 639
979694 327 916
624712 408 791
902643 120 550
723492 419 521
828607 924 998
560717 437 981
106986 103 657
823620 805 995
676858 558 926
488502 553 713
172325 434 978
120464 326 578
429832 594 641
778720 657 837
789992 129 298
298989 957 991
746600 465 667
811929 774 944
189770 454 753
504628 806 884
281898 551 640
715811 568 587
3384 953 969
880114 314 757
689334 381 827
278326 7 358
270962 956 961
248231 60 964
371588 304 515
357564 889 955
68747 942 979
347593 468 993
612516 442 548
469525 298 659
357163 698 738
958976 454 960
793590 342 596
883220 341 798
884239 495 609
122601 257 586
443377 39 832
138238 454 494
971653 432 767
911957 306 529
126878 976 991
601999 881 994
371826 763 923
851401 97 421
76763 514 698
981495 522 554
480206 356 683
53310 409 666
347611 483 758
193559 261 351
958949 106 767
832737 986 996
22306 684 806
905542 541 797
811094 750 838
10898 728 955
829964 296 582
640720 296 911
704917 337 759
798183 964 971
353541 554 938
963316 255 962
837611 973 984
402024 608 975
700304 150 998
899876 824 996
253939 736 829
338323 845 998
81154 156 529
886343 885 951
803100 855 873
953879 478 872
643014 122 197
265400 93 904
359020 151 430
979674 828 863
819930 321 950
72646 384 630
631353 604 829
374453 355 637
927694 853 981
313075 830 903
708720 836 918
9845 153 594
495306 864 891
160952 230 648
502353 330 911
648027 412 460
178438 62 447
847358 265 300
226095 373 519
105051 867 896
729809 303 795
582308 991 991
49650 705 918
977822 697 724
506381 266 593
450237 118 786
539926 443 959
309826 943 987
771888 943 950
53521 488 713
361131 615 639
701654 433 463
534850 682 815
275226 740 965
526101 660 811
876961 567 951
50276 757 995
205766 258 537
405836 740 933
989018 324 558
266949 924 991
417850 377 796
469083 183 247
552559 944 960
780268 321 360
220555 771 790
456675 311 806
432321 919 996
982516 856 932
850948 806 990
621591 283 926
351268 897 969
400841 938 992
263717 2 111
272768 470 544
681121 82 776
712366 148 655
175776 487 974
803064 735 767
678070 121 539
896632 559 829
94748 879 992
515889 953 983
102034 732 816
851090 639 694
433717 134 586
917037 482 509
488668 777 945
404345 126 647
98808 327 910
914566 590 730
476076 804 855
209279 369 974
990441 328 724
803429 660 860
321166 869 896
554314 512 940
962687 747 918
829965 221 232
975748 233 677
502997 192 573
403172 5 337
213711 546 625
685442 342 450
37420 922 940
453239 313 902
698901 621 930
345777 274 562
712177 403 691
832972 92 642
281562 236 913
764271 835 928
419420 100 442
635433 896 972
8110 644 746
613324 245 268
665524 242 365
117961 388 460
500789 618 701
286477 898 956
309913 133 136
233179 64 176
194727 50 55
990763 499 999
291068 651 681
78850 51 207
586319 410 645
156626 114 419
921380 516 756
439764 678 916
8526 989 990
693604 474 859
790249 405 568
286557 953 959
411991 538 888
483637 267 336
971066 735 842
654107 931 976
156786 765 807
238159 417 854
999768 967 969
139905 964 988
700475 459 773
262638 515 915
183002 158 321
714423 325 480
696419 504 936
207875 614 992
685674 457 707
881111 148 972
687788 75 927
402483 210 683
212485 929 936
785583 227 724
65135 670 834
288151 194 279
187581 545 972
568836 800 832
262359 985 992
177147 118 354
881528 309 404
869323 293 402
117798 398 611
751649 19 588
368688 87 209
210607 463 699
360685 564 640
335166 215 669
118131 257 564
56528 336 471
906454 142 641
146618 255 783
260322 377 554
293056 15 50
597788 835 948
114 827 935
826741 766 791
117638 965 993
408270 645 761
609399 367 576
821235 150 223
504350 360 512
641106 781 821
368142 34 166
942460 58 172
398709 994 994
154974 380 585
42224 808 982
393025 526 861
728495 297 367
205567 697 707
888778 994 999
619016 299 991
743650 311 342
888853 96 984
738620 426 466
389355 239 611
977050 177 617
526739 318 506
15388 298 605
757720 121 709
887766 921 921
257601 376 599
528882 965 985
617104 8 540
418696 326 648
538555 412 594
915963 138 728
804970 859 868
645911 273 294
260145 676 877
685545 742 786
308879 936 987
474782 552 914
19495 816 977
573471 864 925
213886 592 647
672172 492 553
439221 131 388
325623 981 986
949064 735 849
362371 893 936
943175 955 979
464254 428 593
510995 815 820
593883 363 727
562715 139 596
480180 361 630
344345 611 954
728607 653 856
896520 210 296
786703 612 871
476263 350 390
847725 773 953
694643 180 681
